Id;Codifarm;Nom;Municipi;Adreça;CP;Tipusdevia;Numerovia;Telefon;Nomabs
76951;F08005182;AGUILAR PEYRA, M.VICTORIA;BARCELONA;LA RAMBLA;08002;CARRER;44;933020391;BARCELONA 1-C
76952;F08005190;RIBA SERRANO, M/RIBA SERRANO, J;BARCELONA;CORTS CATALANES;08015;GRAN VIA;470;932430093;BARCELONA 2-A
76953;F08005200;MIR TUBERT, M.JOSEFA DE/NAVARRO DE MIR,IGNACIO;BARCELONA;BALMES;08008;CARRER;94;932152185;BARCELONA 2-E
76954;F08005217;MISERACHS LALANDE, MARTA;BARCELONA;ROGER DE LLURIA;08009;CARRER;51;;BARCELONA 2-G
76955;F08005224;PEREZ SANCHEZ, M TERESA;BARCELONA;ROIG I SOLER;08035;CARRER;5-7;933025482;BARCELONA 7-E
76956;F08005231;GARCIA SOLANA, ROSA;BARCELONA;GIRONA;08009;CARRER;90;932576249;BARCELONA 2-G
76957;F08005249;SAGARRA AGUILAR, LAURA;BARCELONA;SANT DOMENEC;08012;CARRER;20;932371594;BARCELONA 6-B
76958;F08005256;LLENAS JUST/VILARDELL WILLIGES;BARCELONA;PARAL.LEL;08001;AVINGUDA;48;932410223;BARCELONA 1-D
76959;F08005263;PASCUAL ARNAU, LLUIS;BARCELONA;ARAGO;08026;CARRER;537;932320056;BARCELONA 10-E
76960;F08005270;MAS VALLS, M.TERESA;BARCELONA;DE GRACIA;08012;TRAVESSERA;166;932188985;BARCELONA 6-B
76961;F08005288;APARISI SERRANO, JOAN FRANCESC;BARCELONA;MUNTANYA;08026;CARRER;79;934330900;BARCELONA 10-F
76962;F08005295;MORERA INGLES, JOSEP M;BARCELONA;SANT JOAN;08010;PASSEIG;3;932324210;BARCELONA 2-H
76963;F08005305;SAMBOLA PUIG, FRANCISCO DE PAULA;BARCELONA;MALLORCA;08036;CARRER;131;932534106;BARCELONA 2-E
76964;F08005312;NADAL CASAS, MANUEL;BARCELONA;CANALETES;08002;RAMBLA;121;933174942;BARCELONA 1-E
76965;F08005320;PIQUE FIGUEROLA, RAIMON;BARCELONA;SANT CARLES;08003;CARRER;7;933194803;BARCELONA 1-A
76966;F08005344;PRECIADO IGLESIAS, M.DEL CARME;BARCELONA;PROVENÇA;08029;CARRER;39;932301228;BARCELONA 2-C
76967;F08005351;SANTAMARIA GRIERA, VANESSA/RIBA GENIS, CARLES;BARCELONA;BRUC;08009;CARRER;114;932576430;BARCELONA 2-G
76968;F08005369;BENAVIDES HELBIG, SANTIAGO;BARCELONA;JOAQUIN COSTA;08001;CARRER;31;932424945;BARCELONA 1-E
76969;F08005376;VILAR VILADOMIU, REYES;BARCELONA;CREU COBERTA;08014;CARRER;71;932236063;BARCELONA 3-D
76970;F08005383;ALTIRRIBA GUTIERREZ, JORDI;BARCELONA;PORTO;08032;CARRER;30-36;934291092;BARCELONA 7-F
76971;F08005390;RIVES, ISABELLE  MARIE THERESE;BARCELONA;SEPULVEDA;08011;CARRER;170;932231022;BARCELONA 2-D
76972;F08005400;MAGRINYA  RULL, JOSEP MARIA I JORDI;BARCELONA;RAMON TURRO;08005;CARRER;252;933092443;BARCELONA 10-B
76973;F08005418;REGUERA BORREGO, HERMINIA;BARCELONA;SANTUARI;08032;CARRER;53;;BARCELONA 7-C
